1485.07788    0.20287    0.07332    0.00000
1485.41956    0.18988    0.07334    0.00000
1485.76208    0.30208    0.07567    0.00000
1486.10400    0.36839    0.07938    0.00000
1486.44580    0.34379    0.08788    0.00000
1486.78857    0.29431    0.09207    0.00000
1487.13074    0.41460    0.08597    0.00000
1487.47351    0.39772    0.08764    0.00000
1487.81567    0.36671    0.08729    0.00000
1488.15881    0.36985    0.07880    0.00000
1488.50122    0.38365    0.05795    0.00000
1488.84436    0.24290    0.03033    0.00000
1489.18689    0.32899    0.01250    0.00000
1489.52954    0.51576    0.01038    0.00000
1489.87305    0.34603    0.02948    0.00000
1490.21582    0.37132    0.04092    0.00000
1490.55945    0.25750    0.01956    0.00000
1490.90234    0.21387    0.01455    0.00000
1491.24609    0.19260    0.02816    0.00000
1491.58923    0.32458    0.06721    0.00000
1491.93237    0.34591    0.08710    0.00000
1492.27637    0.45584    0.09039    0.00000
1492.61963    0.45637    0.08895    0.00000
1492.96387    0.37319    0.09091    0.00000
1493.30725    0.44133    0.08833    0.00000
1493.65161    0.45193    0.08844    0.00000
1493.99524    0.35717    0.08949    0.00000
1494.33899    0.48167    0.08521    0.00000
1494.68347    0.43599    0.08694    0.00000
1495.02734    0.30064    0.09246    0.00000
1495.37207    0.35271    0.08757    0.00000
1495.71606    0.28383    0.08099    0.00000
1496.06104    0.46043    0.08278    0.00000
1496.40515    0.31819    0.09175    0.00000
1496.74939    0.36049    0.08991    0.00000
1497.09448    0.53266    0.08389    0.00000
1497.43896    0.47502    0.08567    0.00000
1497.78430    0.39705    0.08662    0.00000
1498.12891    0.47601    0.08362    0.00000
1498.47437    0.47743    0.08490    0.00000
1498.81909    0.39373    0.08805    0.00000
1499.16382    0.43540    0.09349    0.00000
1499.50952    0.36418    0.09018    0.00000
1499.85449    0.42415    0.08151    0.00000
1500.20044    0.47982    0.07858    0.00000
1500.54553    0.39366    0.08737    0.00000
1500.89148    0.41087    0.09713    0.00000
1501.23682    0.41207    0.10336    0.00000
1501.58215    0.38425    0.10467    0.00000
1501.92847    0.37685    0.09786    0.00000
1502.27393    0.34054    0.09261    0.00000
1502.62036    0.30116    0.09636    0.00000
1502.96606    0.39047    0.09578    0.00000
1503.31262    0.42032    0.09188    0.00000
1503.65845    0.33734    0.09814    0.00000
1504.00439    0.23324    0.11352    0.00000
1504.35120    0.17320    0.12598    0.00000
1504.69727    0.31316    0.11209    0.00000
1505.04431    0.29835    0.09390    0.00000
1505.39050    0.47887    0.08381    0.00000
1505.73755    0.53969    0.09026    0.00000
1506.08398    0.40385    0.10663    0.00000
1506.43054    0.33208    0.11792    0.00000
1506.77783    0.29466    0.12047    0.00000
1507.12451    0.28692    0.11676    0.00000
1507.47205    0.52694    0.10781    0.00000
1507.81885    0.56122    0.10322    0.00000
1508.16650    0.59005    0.09984    0.00000
1508.51355    0.64437    0.09601    0.00000
1508.86047    0.57559    0.08728    0.00000
1509.20837    0.67051    0.08736    0.00000
1509.55566    0.72444    0.07847    0.00000
1509.90369    0.71339    0.07905    0.00000
1510.25110    0.74947    0.09699    0.00000
1510.59937    0.75150    0.09593    0.00000
1510.94690    0.78090    0.08873    0.00000
1511.29443    0.81347    0.08000    0.00000
1511.64294    0.82108    0.08015    0.00000
1511.99072    0.93556    0.08550    0.00000
1512.33936    0.97746    0.08916    0.00000
1512.68726    1.04822    0.08788    0.00000
1513.03613    0.99004    0.09174    0.00000
1513.38416    1.12162    0.08732    0.00000
1513.73230    1.06307    0.08273    0.00000
1514.08142    1.04083    0.08372    0.00000
1514.42969    1.20319    0.08166    0.00000
1514.77893    1.31920    0.08061    0.00000
1515.12732    1.08535    0.08511    0.00000
1515.47681    1.05684    0.08676    0.00000
1515.82544    1.25145    0.07231    0.00000
1516.17505    1.09764    0.08463    0.00000
1516.52368    1.13998    0.08454    0.00000
1516.87268    1.19095    0.08628    0.00000
1517.22241    1.22906    0.08539    0.00000
1517.57153    1.14708    0.08768    0.00000
1517.92139    1.26248    0.08029    0.00000
1518.27063    1.19710    0.07938    0.00000
1518.62061    1.15369    0.07467    0.00000
1518.97009    1.18736    0.08218    0.00000
1519.31946    1.22171    0.08242    0.00000
1519.66980    1.17634    0.08106    0.00000
1520.01953    1.21980    0.08030    0.00000
1520.37000    1.24667    0.07958    0.00000
1520.71973    1.20933    0.08139    0.00000
1521.07031    1.28640    0.08290    0.00000
1521.42029    1.16509    0.09017    0.00000
1521.77039    1.15179    0.09222    0.00000
1522.12122    1.13008    0.09163    0.00000
1522.47144    1.21469    0.08887    0.00000
1522.82239    1.25519    0.08999    0.00000
1523.17285    1.20911    0.09240    0.00000
1523.52405    1.24919    0.09037    0.00000
1523.87451    1.26896    0.08974    0.00000
1524.22510    1.26747    0.08488    0.00000
1524.57666    1.23513    0.08172    0.00000
1524.92725    1.22558    0.07882    0.00000
1525.27893    1.31382    0.08101    0.00000
1525.62988    1.36729    0.08128    0.00000
1525.98157    1.24622    0.08197    0.00000
1526.33264    1.10817    0.09137    0.00000
1526.68384    0.61805    0.11688    0.00000
1527.03589    0.43521    0.12741    0.00000
1527.38708    0.54520    0.12340    0.00000
1527.73938    0.59031    0.12899    0.00000
1528.09082    0.48971    0.13846    0.00000
1528.44324    0.46650    0.13289    0.00000
1528.79480    0.57854    0.12011    0.00000
1529.14648    0.60618    0.11942    0.00000
1529.49915    0.36406    0.14417    0.00000
1529.85107    0.33840    0.15424    0.00000
1530.20374    0.70796    0.12165    0.00000
1530.55579    0.79888    0.11452    0.00000
1530.90869    0.67874    0.12334    0.00000
1531.26099    0.75204    0.12404    0.00000
1531.61316    0.87533    0.11488    0.00000
1531.96631    0.85743    0.11450    0.00000
1532.31873    0.76047    0.12262    0.00000
1532.67212    0.94648    0.11230    0.00000
1533.02478    1.13883    0.10131    0.00000
1533.37830    1.32885    0.09373    0.00000
1533.73108    1.33797    0.09144    0.00000
1534.08374    1.35374    0.08853    0.00000
1534.43750    1.34018    0.08991    0.00000
1534.79053    1.23281    0.09767    0.00000
1535.14453    1.24409    0.09730    0.00000
1535.49768    1.33837    0.08841    0.00000
1535.85181    1.29139    0.08629    0.00000
1536.20508    1.25425    0.08797    0.00000
1536.55847    1.27362    0.09553    0.00000
1536.91284    1.33759    0.09441    0.00000
1537.26636    1.37760    0.08965    0.00000
1537.62085    1.36297    0.08639    0.00000
1537.97449    1.37875    0.08636    0.00000
1538.32922    1.37148    0.09013    0.00000
1538.68311    1.37197    0.09504    0.00000
1539.03711    1.30372    0.09784    0.00000
1539.39197    1.31936    0.09647    0.00000
1539.74609    1.38912    0.09042    0.00000
1540.10120    1.31943    0.09568    0.00000
1540.45544    1.28289    0.10247    0.00000
1540.81067    1.39508    0.09559    0.00000
1541.16516    1.39803    0.09074    0.00000
1541.52051    1.38387    0.09009    0.00000
1541.87512    1.44168    0.09023    0.00000
1542.22986    1.34977    0.09815    0.00000
1542.58545    1.33671    0.10187    0.00000
1542.94031    1.26025    0.10533    0.00000
1543.29614    1.31639    0.10424    0.00000
1543.65112    1.29496    0.10383    0.00000
1544.00720    1.28003    0.10007    0.00000
1544.36243    1.33565    0.09792    0.00000
1544.71765    1.29632    0.10064    0.00000
1545.07385    1.23353    0.10320    0.00000
1545.42932    1.32704    0.09730    0.00000
1545.78564    1.37982    0.08977    0.00000
1546.14124    1.33440    0.09118    0.00000
1546.49780    1.23894    0.10149    0.00000
1546.85352    1.38725    0.09686    0.00000
1547.20935    1.33510    0.09966    0.00000
1547.56628    1.30567    0.10008    0.00000
1547.92224    1.44080    0.08670    0.00000
1548.27917    1.31205    0.08539    0.00000
1548.63538    1.35003    0.08645    0.00000
1548.99243    1.38974    0.08897    0.00000
1549.34888    1.39284    0.08877    0.00000
1549.70532    1.43671    0.08868    0.00000
1550.06262    1.40382    0.08835    0.00000
1550.41919    1.30384    0.09015    0.00000
1550.77673    1.22780    0.09176    0.00000
1551.13354    1.25431    0.09060    0.00000
1551.49121    1.29503    0.08922    0.00000
1551.84814    1.21503    0.09366    0.00000
