1434.99133    1.12626    0.08428    0.00000
1435.32153    1.15060    0.08026    0.00000
1435.65247    1.18092    0.08583    0.00000
1435.98267    1.02700    0.09147    0.00000
1436.31311    1.14620    0.08630    0.00000
1436.64429    1.08165    0.07822    0.00000
1436.97485    0.92559    0.08080    0.00000
1437.30615    0.92540    0.08179    0.00000
1437.63672    0.80715    0.00000    0.00000
1437.96826    0.64527    0.00000    0.00000
1438.29907    0.58772    0.00000    0.00000
1438.63000    0.78177    0.00000    0.00000
1438.96179    0.43827    0.00000    0.00000
1439.29285    0.20717    0.00000    0.00000
1439.62476    0.21941    0.00000    0.00000
1439.95593    0.50358    0.00000    0.00000
1440.28796    0.65656    0.00000    0.00000
1440.61926    0.66548    0.00000    0.00000
1440.95056    0.86942    0.09476    0.00000
1441.28284    0.55159    0.00000    0.00000
1441.61450    0.37294    0.00000    0.00000
1441.94690    0.30048    0.00000    0.00000
1442.27869    0.72817    0.00000    0.00000
1442.61121    0.83183    0.10547    0.00000
1442.94312    0.85947    0.10543    0.00000
1443.27502    0.83103    0.10337    0.00000
1443.60791    0.88830    0.10039    0.00000
1443.93994    0.86953    0.09487    0.00000
1444.27295    0.80783    0.00000    0.00000
1444.60522    0.95397    0.08647    0.00000
1444.93835    0.84098    0.10302    0.00000
1445.27075    0.77405    0.00000    0.00000
1445.60315    0.91079    0.09942    0.00000
1445.93652    0.98191    0.08594    0.00000
1446.26917    0.86796    0.08861    0.00000
1446.60266    0.77174    0.00000    0.00000
1446.93542    0.86145    0.09600    0.00000
1447.26904    0.89487    0.10200    0.00000
1447.60205    0.77199    0.00000    0.00000
1447.93518    0.99050    0.09322    0.00000
1448.26904    0.82524    0.09493    0.00000
1448.60217    1.02562    0.09232    0.00000
1448.93628    1.04025    0.09153    0.00000
1449.26953    0.92226    0.09356    0.00000
1449.60376    0.92425    0.09308    0.00000
1449.93726    0.98836    0.08672    0.00000
1450.27075    1.02295    0.08675    0.00000
1450.60510    1.07263    0.08661    0.00000
1450.93896    0.96333    0.09423    0.00000
1451.27356    1.09925    0.08951    0.00000
1451.60742    0.96733    0.09015    0.00000
1451.94214    0.93832    0.09000    0.00000
1452.27612    0.98501    0.09084    0.00000
1452.61023    1.13709    0.08548    0.00000
1452.94519    0.99650    0.08914    0.00000
1453.27942    1.30173    0.07965    0.00000
1453.61462    1.00219    0.08409    0.00000
1453.94897    1.17142    0.07999    0.00000
1454.28418    1.17747    0.07656    0.00000
1454.61890    0.97631    0.07759    0.00000
1454.95349    1.21143    0.07453    0.00000
1455.28894    1.03980    0.08009    0.00000
1455.62366    1.11066    0.07892    0.00000
1455.95935    1.03022    0.08176    0.00000
1456.29431    1.11898    0.08073    0.00000
1456.63013    1.04318    0.08399    0.00000
1456.96521    1.01171    0.08410    0.00000
1457.30042    1.28616    0.07325    0.00000
1457.63647    1.05803    0.08122    0.00000
1457.97180    1.08876    0.07758    0.00000
1458.30798    1.16797    0.06896    0.00000
1458.64355    1.02342    0.06433    0.00000
1458.97986    1.09245    0.06402    0.00000
1459.31543    0.98666    0.07336    0.00000
1459.65112    1.17756    0.07388    0.00000
1459.98779    0.92461    0.08206    0.00000
1460.32361    0.97274    0.08152    0.00000
1460.66040    1.06725    0.07833    0.00000
1460.99646    1.06439    0.07803    0.00000
1461.33325    1.02512    0.07638    0.00000
1461.66956    0.87009    0.05432    0.00000
1462.00659    0.99199    0.07801    0.00000
1462.34290    1.03613    0.07655    0.00000
1462.67932    1.11852    0.07376    0.00000
1463.01660    1.12250    0.07173    0.00000
1463.35315    1.02032    0.07070    0.00000
1463.69067    0.98197    0.06450    0.00000
1464.02734    1.01000    0.05778    0.00000
