1448.26904    0.82227    0.09459    0.00000
1448.60217    1.02217    0.09201    0.00000
1448.93628    1.03701    0.09124    0.00000
1449.26953    0.91961    0.09329    0.00000
1449.60376    0.92182    0.09284    0.00000
1449.93726    0.98602    0.08652    0.00000
1450.27075    1.02079    0.08656    0.00000
1450.60510    1.07065    0.08645    0.00000
1450.93896    0.96181    0.09408    0.00000
1451.27356    1.09781    0.08940    0.00000
1451.60742    0.96632    0.09006    0.00000
1451.94214    0.93760    0.08993    0.00000
1452.27612    0.98453    0.09079    0.00000
1452.61023    1.13686    0.08546    0.00000
1452.94519    0.99658    0.08915    0.00000
1453.27942    1.30222    0.07968    0.00000
1453.61462    1.00287    0.08414    0.00000
1453.94897    1.17256    0.08007    0.00000
1454.28418    1.17898    0.07666    0.00000
1454.61890    0.97786    0.07771    0.00000
1454.95349    1.21374    0.07467    0.00000
1455.28894    1.04212    0.08027    0.00000
1455.62366    1.11349    0.07913    0.00000
1455.95935    1.03319    0.08200    0.00000
1456.29431    1.12258    0.08099    0.00000
1456.63013    1.04689    0.08429    0.00000
1456.96521    1.01566    0.08443    0.00000
1457.30042    1.29163    0.07356    0.00000
1457.63647    1.06291    0.08160    0.00000
1457.97180    1.09417    0.07797    0.00000
1458.30798    1.17420    0.06933    0.00000
1458.64355    1.02927    0.06470    0.00000
1458.97986    1.09911    0.06441    0.00000
1459.31543    0.99305    0.07384    0.00000
1459.65112    1.18565    0.07439    0.00000
1459.98779    0.93134    0.08266    0.00000
1460.32361    0.98021    0.08215    0.00000
1460.66040    1.07588    0.07897    0.00000
1460.99646    1.07345    0.07869    0.00000
1461.33325    1.03429    0.07706    0.00000
1461.66956    0.87825    0.05483    0.00000
1462.00659    1.00173    0.07877    0.00000
1462.34290    1.04677    0.07733    0.00000
1462.67932    1.13052    0.07455    0.00000
1463.01660    1.13507    0.07253    0.00000
1463.35315    1.03223    0.07152    0.00000
1463.69067    0.99391    0.06529    0.00000
1464.02734    1.02277    0.05851    0.00000
1464.36499    1.04934    0.05915    0.00000
1464.70178    0.85413    0.06898    0.00000
1465.03882    0.81920    0.07490    0.00000
1465.37659    1.02338    0.06554    0.00000
1465.71362    1.04765    0.06452    0.00000
1466.05176    0.84946    0.07206    0.00000
1466.38892    0.96526    0.07349    0.00000
1466.72717    0.91474    0.07296    0.00000
1467.06445    0.94488    0.07303    0.00000
1467.40210    1.00363    0.07014    0.00000
1467.74036    1.02829    0.06473    0.00000
1468.07812    1.12529    0.05616    0.00000
1468.41650    1.07179    0.05296    0.00000
1468.75439    1.01285    0.05645    0.00000
1469.09302    1.05410    0.06247    0.00000
1469.43103    1.08162    0.06546    0.00000
1469.76904    1.07407    0.06208    0.00000
1470.10803    1.21487    0.05653    0.00000
1470.44617    1.09927    0.05768    0.00000
1470.78528    1.08778    0.05906    0.00000
1471.12354    1.02156    0.06028    0.00000
1471.46289    1.03870    0.06238    0.00000
1471.80139    0.91636    0.06388    0.00000
1472.13989    0.97618    0.06300    0.00000
1472.47949    1.06151    0.05724    0.00000
1472.81812    0.81732    0.06320    0.00000
1473.15784    0.79917    0.06121    0.00000
1473.49670    1.00646    0.05970    0.00000
1473.83643    1.02603    0.05803    0.00000
1474.17554    0.99201    0.05881    0.00000
1474.51465    0.96583    0.06124    0.00000
1474.85474    0.93935    0.06381    0.00000
1475.19397    0.88779    0.06062    0.00000
1475.53418    0.92164    0.05942    0.00000
1475.87366    0.99237    0.05716    0.00000
1476.21399    1.00330    0.05795    0.00000
1476.55347    0.87577    0.06164    0.00000
1476.89319    0.85003    0.06131    0.00000
1477.23389    0.98310    0.05874    0.00000
1477.57361    0.76593    0.00000    0.00000
1477.91431    0.66764    0.00000    0.00000
1478.25439    0.71970    0.00000    0.00000
1478.59534    0.86097    0.05783    0.00000
1478.93530    0.73854    0.00000    0.00000
1479.27563    0.69630    0.00000    0.00000
1479.61670    0.66568    0.00000    0.00000
1479.95703    0.68834    0.00000    0.00000
1480.29834    0.74818    0.00000    0.00000
1480.63892    0.63527    0.00000    0.00000
1480.98035    0.53795    0.00000    0.00000
1481.32104    0.58412    0.00000    0.00000
1481.66174    0.46460    0.00000    0.00000
1482.00354    0.49743    0.00000    0.00000
1482.34448    0.34315    0.00000    0.00000
1482.68628    0.43029    0.00000    0.00000
1483.02734    0.45826    0.00000    0.00000
1483.36926    0.39302    0.00000    0.00000
1483.71057    0.35553    0.00000    0.00000
1484.05188    0.27495    0.00000    0.00000
1484.39417    0.33038    0.00000    0.00000
1484.73560    0.38439    0.00000    0.00000
1485.07788    0.24303    0.00000    0.00000
1485.41956    0.22745    0.00000    0.00000
1485.76208    0.36183    0.00000    0.00000
1486.10400    0.44121    0.00000    0.00000
1486.44580    0.41170    0.00000    0.00000
1486.78857    0.35240    0.00000    0.00000
1487.13074    0.49637    0.00000    0.00000
1487.47351    0.47608    0.00000    0.00000
1487.81567    0.43889    0.00000    0.00000
1488.15881    0.44256    0.00000    0.00000
1488.50122    0.45897    0.00000    0.00000
1488.84436    0.29051    0.00000    0.00000
1489.18689    0.39337    0.00000    0.00000
1489.52954    0.61650    0.00000    0.00000
1489.87305    0.41348    0.00000    0.00000
1490.21582    0.44353    0.00000    0.00000
