Less than Three epochs:  347.95013	  18.07205	  2.9766	[(7611, 56946, 176), (6129, 56301, 184)]
Less than Three epochs:  347.40618	  17.67074	  2.1682	[(7611, 56946, 286), (6134, 56244, 866)]
Less than Three epochs:  343.87545	  22.14146	  2.4391	[(6591, 56535, 498), (7613, 56988, 166)]
Less than Three epochs:  344.24882	  22.74109	  2.3014	[(6591, 56535, 528), (7613, 56988, 196)]
Less than Three epochs:  344.16272	  22.55546	  1.9376	[(7613, 56988, 226), (6308, 56215, 72)]
Less than Three epochs:  346.03499	  21.84629	  1.8102	[(7614, 57307, 323), (6592, 56535, 474)]
Less than Three epochs:  346.05486	  24.39932	  2.4906	[(7614, 57307, 674), (6589, 56536, 649)]
Less than Three epochs:    8.03530	  22.88167	  2.5503	[(7615, 56977, 650), (6181, 56239, 910)]
Less than Three epochs:   10.68747	  20.32239	  2.5414	[(7616, 56902, 196), (6194, 56190, 814)]
Less than Three epochs:   11.17872	  22.57926	  3.0673	[(7617, 56949, 695), (6287, 56221, 686)]
Less than Three epochs:   10.28853	  23.17589	  0.0000	[(6285, 56248, 380), (7617, 56949, 980)]
Less than Three epochs:   11.74956	  18.12767	  2.7619	[(6199, 56220, 264), (7618, 56898, 268)]
Less than Three epochs:   11.29451	  18.14802	  2.9552	[(6199, 56220, 350), (7618, 56898, 352)]
Less than Three epochs:   10.94876	  18.12085	  3.3297	[(6199, 56220, 428), (7618, 56898, 386)]
Less than Three epochs:   10.74483	  19.06221	  2.1887	[(7618, 56898, 556), (6193, 56237, 968)]
Less than Three epochs:   13.17287	  20.00115	  2.3412	[(7619, 56900, 234), (6200, 56217, 68)]
Less than Three epochs:   12.95883	  19.69792	  2.9652	[(7619, 56900, 266), (6200, 56217, 136)]
Less than Three epochs:   12.54907	  18.79216	  2.6996	[(6199, 56220, 935), (7619, 56900, 367)]
Less than Three epochs:   12.12568	  21.02782	  2.7700	[(7619, 56900, 596), (6200, 56217, 660)]
Less than Three epochs:   13.40963	  20.25940	  2.5005	[(7619, 56900, 858), (5703, 56190, 482)]
Less than Three epochs:   14.10364	  21.65006	  2.5354	[(7620, 56904, 268), (5703, 56190, 632)]
Less than Three epochs:   20.31299	  17.65010	  3.0778	[(7621, 56985, 162), (5136, 55836, 578)]
Less than Three epochs:   17.95770	  17.89752	  3.0235	[(7622, 56987, 108)]
Less than Three epochs:   17.89733	  18.30726	  3.4497	[(7622, 56987, 113), (5133, 55860, 412)]
Less than Three epochs:   16.94554	  18.28329	  2.8199	[(5132, 55858, 626), (7622, 56987, 308)]
Less than Three epochs:   17.31260	  20.19503	  3.0161	[(5125, 55863, 338), (7624, 57039, 11)]
Less than Three epochs:   16.12964	  19.22500	  2.8172	[(7624, 57039, 176), (5124, 55894, 725)]
Less than Three epochs:   15.20493	  20.15190	  3.2950	[(7624, 57039, 396), (5703, 56190, 138)]
Less than Three epochs:   18.37243	  22.13915	  3.8177	[(7625, 57011, 26), (5126, 55923, 324)]
Less than Three epochs:   17.05440	  21.57948	  2.7799	[(5125, 55863, 672), (7625, 57011, 258)]
Less than Three epochs:   16.35846	  23.54004	  2.9301	[(7625, 57011, 625), (5701, 55949, 94)]
Less than Three epochs:   17.61177	  23.26131	  2.1839	[(7625, 57011, 862), (5120, 55895, 986)]
Less than Three epochs:   28.64745	  18.77317	  3.1921	[(7626, 56934, 698), (5118, 55830, 867)]
