43.82035      1.19289     2.84842     7820-56984-0662      0410-51816-0450      4242-55476-0742        
44.55360      1.10094     2.22171     7820-56984-0822      0708-52175-0608      4242-55476-0908        
117.14033     45.35989     1.75389     8276-57067-0744      1737-53055-0124      3673-55178-0166        
120.02638     44.59879     2.51911     8277-57073-0716      0436-51883-0106      3676-55186-0960        
120.96517     50.05490     2.94552     7317-56992-0693      1780-53090-0244      3684-55246-0788        
122.07452     46.91701     2.73488     7324-56935-0123      0438-51884-0120      3686-55268-0840        
122.43652     48.58110     3.24682     7317-56992-0127      0440-51885-0197      3684-55246-0034        
122.76215     50.12341     1.84224     7309-56991-0482      0440-51885-0377      3699-55517-0062        
127.01895     44.88247     2.07872     8279-57063-0827      0548-51986-0157      5159-55856-0238        
129.54519     43.09883     2.11797     8280-57061-0257      0762-52232-0006      4683-55924-0234        
130.95285     44.87414     2.59889     8280-57061-0902      0763-52235-0125      5163-55889-0182        
132.49035     54.59160     3.86061     7276-57061-0804      0446-51899-0634      5154-55864-0840        
132.86758     44.85424     1.98957     8281-57042-0743      0897-52605-0278      4684-56226-0784        
135.67114     57.30807     2.06791     7279-57071-0863      0483-51924-0532      5150-56329-0972        
135.97474     56.89627     2.05279     7278-57041-0358      0483-51924-0139      5723-56597-0470        
135.99622     53.46650     1.78689     7295-57067-0702      0449-51900-0073      5155-55946-0953        
136.86489     44.86198     2.53725     8282-57041-0904      0832-52312-0348      4688-56008-0921        
136.88154     58.19502     1.89401     8197-57064-0092      0484-51907-0236      5708-56605-0150        
137.06031     55.11678     1.93072     7288-57039-0902      0450-51908-0157      5728-56334-0848        
137.38275     54.19468     1.71846     7275-57093-0297      0450-51908-0097      5729-56598-0624        
137.48143     58.02866     1.7128     7278-57041-0828      0484-51907-0166      5723-56597-0674        
137.64772     57.77870     2.22766     7278-57041-0878      0484-51907-0134      5723-56597-0726        
137.65881     46.66010     2.76752     7314-56990-0294      0899-52620-0184      5736-55984-0854        
137.99735     44.42411     2.17126     8283-57064-0602      0832-52312-0182      4687-56338-0654        
138.01040     53.57668     2.38352     7288-57039-0017      0554-52000-0285      5729-56598-0712        
138.28264     44.33731     2.94631     8283-57064-0642      0832-52312-0195      4687-56338-0700        
138.60719     50.81526     2.34055     7305-56991-0823      0766-52247-0475      5732-56326-0964        
138.68564     56.04368     1.70769     7275-57093-0903      0451-51908-0262      5723-56597-0132        
139.49011     47.85049     2.20661     7314-56990-0040      0900-52637-0290      5813-56363-0670        
141.28141     52.18402     2.98312     7290-57073-0197      0767-52252-0492      5730-56607-0902        
141.40257     54.04107     2.03076     7285-56991-0108      0555-52266-0246      5726-56626-0680        
143.89803     51.02247     1.86605     7297-57040-0946      0901-52641-0417      7448-56739-0292        
144.57952     50.65334     1.6758     7291-56992-0175      0901-52641-0531      7448-56739-0134        
144.94007     51.22422     1.94009     7291-56992-0102      0901-52641-0578      7448-56739-0066        
145.07346     44.90874     1.71824     8285-57048-0744      1202-52672-0166      4695-55957-0318        
145.14427     55.27576     2.02577     7283-57063-0724      0556-51991-0151      5710-56658-0200        
146.23648     54.68833     1.90723     7283-57063-0196      0769-52282-0337      5710-56658-0044        
148.59452     52.81774     2.33289     8182-56993-0734      0903-52400-0343      5737-56381-0382        
149.30263     51.34970     2.11514     8182-56993-0208      0902-52409-0592      5738-56002-0978        
